filedate,State,B.1.1.7 Variant,P.1 Variant,B.1.351 Variant,mytotal
2021-01-08,AK,0,0,0,0
2021-01-12,AK,0,0,0,0
2021-01-14,AK,0,0,0,0
2021-01-19,AK,0,0,0,0
2021-01-20,AK,0,0,0,0
2021-01-21,AK,0,0,0,0
2021-01-22,AK,0,0,0,0
2021-01-23,AK,0,0,0,0
2021-01-24,AK,0,0,0,0
2021-01-25,AK,0,0,0,0
2021-01-26,AK,0,0,0,0
2021-01-27,AK,1,0,0,1
2021-01-28,AK,1,0,0,1
2021-01-29,AK,1,0,0,1
2021-01-30,AK,1,0,0,1
2021-01-31,AK,1,0,0,1
2021-02-01,AK,1,0,0,1
2021-02-02,AK,1,0,0,1
2021-02-03,AK,1,0,0,1
2021-02-04,AK,1,0,0,1
2021-02-05,AK,1,0,0,1
2021-02-06,AK,1,0,0,1
2021-02-07,AK,1,0,0,1
2021-02-08,AK,1,0,0,1
2021-02-09,AK,1,0,0,1
2021-02-10,AK,1,0,0,1
2021-02-11,AK,1,0,0,1
2021-02-12,AK,1,0,0,1
2021-02-13,AK,1,0,0,1
2021-02-14,AK,1,0,0,1
2021-02-15,AK,1,0,0,1
2021-02-16,AK,1,0,0,1
2021-02-17,AK,1,0,0,1
2021-02-18,AK,1,0,0,1
2021-02-19,AK,1,0,0,1
2021-02-20,AK,1,0,0,1
2021-02-21,AK,1,0,0,1
2021-02-22,AK,1,0,0,1
2021-02-23,AK,2,0,0,2
2021-02-24,AK,2,0,0,2
2021-02-25,AK,2,1,0,3
2021-02-26,AK,2,1,0,3
2021-02-27,AK,2,1,0,3
2021-02-28,AK,2,1,0,3
2021-03-01,AK,2,1,0,3
2021-03-02,AK,2,1,0,3
2021-03-03,AK,2,1,0,3
2021-03-04,AK,2,1,0,3
2021-03-05,AK,2,1,0,3
2021-03-06,AK,2,1,0,3
2021-03-07,AK,2,1,0,3
2021-03-08,AK,2,1,0,3
2021-03-09,AK,2,1,0,3
2021-03-10,AK,2,1,0,3
2021-03-11,AK,2,1,0,3
2021-03-12,AK,2,1,0,3
2021-03-13,AK,2,1,0,3
2021-03-14,AK,2,1,0,3
2021-03-15,AK,2,1,0,3
2021-03-16,AK,2,1,0,3
2021-03-17,AK,2,1,0,3
2021-03-18,AK,2,1,0,3
2021-03-19,AK,2,1,0,3
2021-03-20,AK,2,1,0,3
2021-03-21,AK,2,1,0,3
2021-03-22,AK,2,1,0,3
2021-03-23,AK,2,1,0,3
2021-03-24,AK,2,1,0,3
2021-03-25,AK,2,1,0,3
2021-03-26,AK,2,1,0,3
2021-03-27,AK,2,1,0,3
2021-03-28,AK,2,1,0,3
2021-03-29,AK,2,1,0,3
2021-03-30,AK,2,1,0,3
2021-03-31,AK,2,1,0,3
2021-04-01,AK,3,5,0,8
2021-04-02,AK,3,5,0,8
2021-04-03,AK,3,5,0,8
2021-04-04,AK,3,5,0,8
2021-04-05,AK,3,5,0,8
2021-04-06,AK,6,6,1,13
2021-04-07,AK,6,6,1,13
2021-04-08,AK,6,6,1,13
2021-04-09,AK,6,6,1,13
2021-04-10,AK,6,6,1,13
2021-04-11,AK,6,6,1,13
2021-04-12,AK,6,6,1,13
2021-04-13,AK,6,6,1,13
2021-04-14,AK,6,6,1,13
2021-04-15,AK,6,6,1,13
2021-04-16,AK,6,6,1,13
2021-04-17,AK,6,6,1,13
2021-01-08,AL,0,0,0,0
2021-01-12,AL,0,0,0,0
2021-01-14,AL,0,0,0,0
2021-01-19,AL,0,0,0,0
2021-01-20,AL,0,0,0,0
2021-01-21,AL,0,0,0,0
2021-01-22,AL,0,0,0,0
2021-01-23,AL,0,0,0,0
2021-01-24,AL,0,0,0,0
2021-01-25,AL,0,0,0,0
2021-01-26,AL,0,0,0,0
2021-01-27,AL,0,0,0,0
2021-01-28,AL,0,0,0,0
2021-01-29,AL,3,0,0,3
