Date,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,FM,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MH,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,PW,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2021-01-19,0,0,0,0,0,40,6,2,0,0,46,0,1,0,0,0,0,1,4,0,0,1,1,2,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1
2021-01-20,0,0,0,0,0,40,6,2,0,0,46,0,5,0,0,0,0,1,4,0,0,1,2,3,0,0,1,5,0,0,0,0,0,0,0,0,0,2,0,17,0,0,1,2,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1
2021-01-21,0,0,0,0,0,40,6,2,0,0,46,0,5,0,0,0,0,1,4,0,0,1,2,3,0,0,1,5,0,0,0,0,0,0,0,0,0,2,0,17,0,0,1,2,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1
2021-01-22,0,0,0,0,0,72,6,4,0,0,50,0,6,0,0,0,0,1,4,0,0,1,2,4,0,0,3,5,0,0,0,0,0,0,0,0,2,2,0,22,0,0,1,2,0,0,0,0,0,2,3,1,0,0,0,0,1,0,1
2021-01-23,0,0,0,0,0,72,6,4,0,0,50,0,6,0,0,0,0,1,4,0,0,1,2,4,0,0,3,5,0,0,0,0,0,0,0,0,2,2,0,22,0,0,1,2,0,0,0,0,0,2,3,1,0,0,0,0,1,0,1
2021-01-24,0,0,0,0,0,72,6,4,0,0,50,0,6,0,0,0,0,1,4,0,0,1,2,4,0,0,3,5,0,0,0,0,0,0,0,0,2,2,0,22,0,0,1,2,0,0,0,0,0,2,3,1,0,0,0,0,1,0,1
2021-01-25,0,0,0,0,0,90,9,4,0,0,92,0,6,0,0,0,0,9,4,0,0,1,3,4,0,0,17,5,0,0,0,0,1,0,0,0,2,2,0,22,0,0,1,5,0,0,0,0,0,2,7,1,0,0,0,1,3,0,2
2021-01-26,0,0,0,0,0,90,9,4,0,0,92,0,6,0,0,0,0,9,4,0,0,1,3,4,0,0,17,5,0,0,0,0,1,0,0,0,2,2,0,22,0,0,1,5,0,0,0,0,0,2,7,1,0,0,0,1,3,0,2
2021-01-27,1,0,0,0,0,92,9,8,0,0,92,0,14,0,0,0,0,9,4,0,2,1,3,4,0,0,17,8,0,0,0,0,1,0,0,0,2,2,1,22,0,0,1,5,0,0,0,0,0,2,7,1,1,0,0,3,1,0,2
2021-01-28,1,0,0,0,0,92,9,8,0,0,92,0,14,0,0,0,0,9,4,0,2,1,3,4,0,0,17,8,0,0,0,0,1,0,0,0,2,2,1,22,0,0,1,5,0,0,0,0,0,2,7,1,1,0,0,3,1,0,2
